przystanek;nr_przystanku;linia;dzień;godzina docelowa
7085;01;190;2024-07-06;19:19:00
7085;01;190;2024-07-06;19:29:00
7085;01;190;2024-07-06;19:39:00
7085;01;190;2024-07-06;19:49:00
7085;01;190;2024-07-06;19:59:00
7085;01;190;2024-07-06;20:11:00
7085;01;190;2024-07-06;20:26:00
7085;01;190;2024-07-06;20:41:00
7085;01;190;2024-07-06;20:56:00
7085;01;190;2024-07-06;21:11:00
7085;01;190;2024-07-06;21:26:00
7085;01;190;2024-07-06;21:41:00
7085;01;190;2024-07-06;21:56:00
7085;01;190;2024-07-06;22:10:00
7085;01;190;2024-07-06;22:25:00
7085;01;190;2024-07-06;22:40:00
7085;01;190;2024-07-06;22:55:00
7085;01;190;2024-07-06;23:25:00
7099;09;190;2024-07-06;04:57:00
7099;09;190;2024-07-06;05:27:00
7099;09;190;2024-07-06;05:42:00
7099;09;190;2024-07-06;05:57:00
7099;09;190;2024-07-06;06:12:00
7099;09;190;2024-07-06;06:27:00
7099;09;190;2024-07-06;06:42:00
7099;09;190;2024-07-06;06:57:00
7099;09;190;2024-07-06;07:13:00
7099;09;190;2024-07-06;07:28:00
7099;09;190;2024-07-06;07:43:00
7099;09;190;2024-07-06;07:58:00
7099;09;190;2024-07-06;08:14:00
7099;09;190;2024-07-06;08:20:00
7099;09;190;2024-07-06;08:29:00
7099;09;190;2024-07-06;08:41:00
7099;09;190;2024-07-06;08:51:00
7099;09;190;2024-07-06;09:01:00
7099;09;190;2024-07-06;09:11:00
7099;09;190;2024-07-06;09:21:00
7099;09;190;2024-07-06;09:31:00
7099;09;190;2024-07-06;09:41:00
7099;09;190;2024-07-06;09:51:00
7099;09;190;2024-07-06;10:01:00
7099;09;190;2024-07-06;10:11:00
7099;09;190;2024-07-06;10:21:00
7099;09;190;2024-07-06;10:31:00
7099;09;190;2024-07-06;10:41:00
7099;09;190;2024-07-06;10:51:00
7099;09;190;2024-07-06;11:01:00
7099;09;190;2024-07-06;11:11:00
7099;09;190;2024-07-06;11:21:00
7099;09;190;2024-07-06;11:31:00
7099;09;190;2024-07-06;11:41:00
